,file_name,mean_color,mean_color_b,mean_color_g,mean_color_r,shannon_entropy,year,mean_color_r_perc,lumina
0,../images/Rothko_guggenheim_org/1946_31.jpg,"[195.04633161367624, 179.93297130025903, 160.43923835137034]",160.4392384,179.9329713,195.0463316,6.768126791,1946,0.364287593,181.7386242
1,../images/Rothko_guggenheim_org/1953_31.jpg,"[228.9834626679892, 156.9777388801369, 10.674273100336464]",10.6742731,156.9777389,228.9834627,6.937948026,1953,0.577314631,161.7230455
2,../images/Rothko_moma/1944_41.jpg,"[217.90556421172752, 214.52938465589887, 205.07141524754215]",205.0714152,214.5293847,217.9055642,6.519650518,1944,0.341809237,214.5642951
3,../images/Rothko_moma/1951_41.jpg,"[191.22959893724698, 183.47946451163966, 168.9769934526822]",168.9769935,183.4794645,191.2295989,6.451747146,1951,0.351727981,184.0800647
4,../images/Rothko_moma/1949_41.jpg,"[230.15480379293894, 224.6640326812977, 210.36680979643765]",210.3668098,224.6640327,230.1548038,5.738259403,1949,0.346000857,224.7991111
5,../images/Rothko_moma/1945_41.jpg,"[117.86319294381649, 111.82913792386968, 101.92128282912235]",101.9212828,111.8291379,117.8631929,6.255054734,1945,0.355423264,112.3966309
6,../images/wikiart/1967_1.jpg,"[180.42964255319148, 68.53633191489362, 74.80731063829788]",74.80731064,68.53633191,180.4296426,6.584764825,1967,0.557271557,92.77761443
7,../images/wikiart/1961_7.jpg,"[199.58140263810893, 111.98454137825955, 54.04598842018197]",54.04598842,111.9845414,199.5814026,6.084141823,1961,0.545883175,126.4244706
8,../images/wikiart/1945_6.jpg,"[174.7499649122807, 102.5982149122807, 88.85396929824562]",88.8539693,102.5982149,174.7499649,7.585441268,1945,0.477195356,116.9453424
9,../images/wikiart/1958_3.jpg,"[103.76042980828696, 60.30377860235003, 50.337854050711194]",50.33785405,60.3037786,103.7604298,6.670086452,1958,0.483952573,68.82312289
10,../images/wikiart/1958_2.jpg,"[38.64353785103785, 34.50434981684982, 39.80569597069597]",39.80569597,34.50434982,38.64353785,4.127100581,1958,0.342118741,35.76709839
11,../images/wikiart/1945_7.jpg,"[148.23394405594405, 118.28014452214452, 99.58297902097902]",99.58297902,118.2801445,148.2339441,7.466985492,1945,0.404903391,123.2983869
12,../images/wikiart/1961_6.jpg,"[168.3727296736465, 85.47117902282588, 78.05614035087719]",78.05614035,85.47117902,168.3727297,6.547523768,1961,0.507299502,102.5606829
13,../images/wikiart/1967_2.jpg,"[113.33050772626932, 23.994541942604858, 44.01707505518764]",44.01707506,23.99454194,113.3305077,6.540724557,1967,0.624954119,44.43299515
14,../images/wikiart/1961_4.jpg,"[190.6799935149157, 82.03858949416342, 44.07043125810635]",44.07043126,82.03858949,190.6799935,6.4825522,1961,0.601914792,102.394451
15,../images/wikiart/1949_8.jpg,"[118.49940306606973, 82.72011938678605, 53.585972052638716]",53.58597205,82.72011939,118.4994031,7.247862746,1949,0.465058272,88.22330967
16,../images/wikiart/1939_1.jpg,"[190.52893740902473, 134.55908296943232, 83.87879184861717]",83.87879185,134.559083,190.5289374,7.844444441,1939,0.465878726,142.799157
17,../images/wikiart/1945_5.jpg,"[190.83549086757992, 134.79035768645358, 98.30951293759513]",98.30951294,134.7903577,190.8354909,7.664053205,1945,0.45015233,144.071636
18,../images/wikiart/1958_1.jpg,"[55.613013698630134, 46.360628338710534, 51.36837679166446]",51.36837679,46.36062834,55.6130137,5.492563269,1958,0.362673024,48.68924491
19,../images/wikiart/1945_4.jpg,"[141.35355036855037, 110.01150696150697, 90.45739148239149]",90.45739148,110.011507,141.3535504,7.577653338,1945,0.413529161,115.2630183
20,../images/wikiart/1949_9.jpg,"[190.95384, 65.27244, 44.81575]",44.81575,65.27244,190.95384,7.604876387,1949,0.634309568,90.51533262
21,../images/wikiart/1961_5.jpg,"[82.75543046357616, 80.0478344370861, 77.22829139072847]",77.22829139,80.04783444,82.75543046,5.767699853,1961,0.344768962,80.41989835
22,../images/wikiart/1947_2.jpg,"[187.6071095890411, 81.45388584474885, 57.78116894977169]",57.78116895,81.45388584,187.6071096,7.386363611,1947,0.573999104,102.3128911
23,../images/wikiart/1961_1.jpg,"[89.65200501253133, 49.41722744360902, 80.16458020050125]",80.1645802,49.41722744,89.65200501,7.241841602,1961,0.408933293,60.19110002
24,../images/wikiart/1958_5.jpg,"[88.75566769601566, 35.82167783886922, 38.019212422485]",38.01921242,35.82167784,88.7556677,6.680274405,1958,0.54586437,47.23410608
25,../images/wikiart/1958_4.jpg,"[83.28468547912992, 61.0963139329806, 61.957707231040565]",61.95770723,61.09631393,83.28468548,5.915477268,1958,0.403630937,65.87575432
26,../images/wikiart/1945_1.jpg,"[213.22476709013915, 174.75915305505143, 146.14126557773744]",146.1412656,174.7591531,213.2247671,7.369926187,1945,0.399203731,180.8707312
27,../images/wikiart/1947_3.jpg,"[171.12943191705335, 108.6438741661833, 89.46134534512761]",89.46134535,108.6438742,171.1294319,7.357759793,1947,0.463470672,120.5433252
28,../images/wikiart/1961_2.jpg,"[71.55541666666667, 57.47236757105943, 53.75354651162791]",53.75354651,57.47236757,71.55541667,6.012707405,1961,0.391480992,60.19792493
29,../images/wikiart/1947_1.jpg,"[183.64548608972385, 105.19638640796633, 63.255259213633096]",63.25525921,105.1963864,183.6454861,7.694027501,1947,0.521576206,118.8465156
30,../images/wikiart/1945_3.jpg,"[117.30966743119266, 76.23660168195718, 61.12968272171254]",61.12968272,76.23660168,117.3096674,7.294625391,1945,0.460623261,83.8780159
31,../images/wikiart/1958_6.jpg,"[172.44221263404825, 96.65829737768097, 56.06245287365952]",56.06245287,96.65829738,172.4422126,6.710839133,1958,0.530325505,109.8389378
32,../images/wikiart/1945_2.jpg,"[223.94029874213837, 197.49297619047618, 179.20398472596585]",179.2039847,197.4929762,223.9402987,7.184242849,1945,0.37283784,201.7952118
33,../images/wikiart/1963_1.jpg,"[69.43832116788322, 49.46974756690997, 50.4601794403893]",50.46017944,49.46974757,69.43832117,6.858517326,1963,0.409984291,53.7865755
34,../images/wikiart/1961_3.jpg,"[108.3142830882353, 107.00245710784314, 120.95054534313725]",120.9505453,107.0024571,108.3142831,7.085993603,1961,0.322107704,108.2884033
35,../images/wikiart/1944_5.jpg,"[191.8565610062893, 164.32110440251572, 118.13226918238993]",118.1322692,164.3211044,191.856561,7.114032771,1944,0.404496189,166.8403086
36,../images/wikiart/1938_1.jpg,"[104.30473056057866, 83.60087281494876, 79.57385654008439]",79.57385654,83.60087281,104.3047306,7.457474221,1938,0.389954169,87.7117624
37,../images/wikiart/1948_8.jpg,"[213.10001149425287, 148.98972413793103, 120.14935632183908]",120.1493563,148.9897241,213.1000115,7.570245575,1948,0.441897007,160.5372966
38,../images/wikiart/1940_1.jpg,"[204.73341049382717, 199.91001157407408, 166.6494637345679]",166.6494637,199.9100116,204.7334105,6.906291114,1940,0.358368563,198.5340546
