,file_name,mean_color,mean_color_b,mean_color_g,mean_color_r,mode_color,mode_color_b,mode_color_g,mode_color_r,shannon_entropy,year
0,../images/Rothko_guggenheim_org/1946_31.jpg,"[195.04633161367624, 179.93297130025903, 160.43923835137034]",160.43923835137034,179.93297130025903,195.04633161367624,"[204, 196, 185]",185,196,204,6.768126790804539,1946
1,../images/Rothko_guggenheim_org/1953_31.jpg,"[228.9834626679892, 156.9777388801369, 10.674273100336464]",10.674273100336464,156.9777388801369,228.9834626679892,"[251, 221, 3]",3,221,251,6.937948026215617,1953
2,../images/Rothko_moma/1944_41.jpg,"[217.90556421172752, 214.52938465589887, 205.07141524754215]",205.07141524754215,214.52938465589887,217.90556421172752,"[243, 240, 231]",231,240,243,6.519650517954927,1944
3,../images/Rothko_moma/1951_41.jpg,"[191.22959893724698, 183.47946451163966, 168.9769934526822]",168.9769934526822,183.47946451163966,191.22959893724698,"[247, 245, 246]",246,245,247,6.451747145681889,1951
4,../images/Rothko_moma/1949_41.jpg,"[230.15480379293894, 224.6640326812977, 210.36680979643765]",210.36680979643765,224.6640326812977,230.15480379293894,"[237, 231, 215]",215,231,237,5.73825940329294,1949
5,../images/Rothko_moma/1945_41.jpg,"[117.86319294381649, 111.82913792386968, 101.92128282912235]",101.92128282912235,111.82913792386968,117.86319294381649,"[104, 99, 93]",93,99,104,6.255054733565318,1945
6,../images/wikiart/1967_1.jpg,"[180.42964255319148, 68.53633191489362, 74.80731063829788]",74.80731063829788,68.53633191489362,180.42964255319148,"[169, 50, 82]",82,50,169,6.584764825096867,1967
7,../images/wikiart/1961_7.jpg,"[199.58140263810893, 111.98454137825955, 54.04598842018197]",54.04598842018197,111.98454137825955,199.58140263810893,"[193, 110, 42]",42,110,193,6.084141822765281,1961
8,../images/wikiart/1945_6.jpg,"[174.7499649122807, 102.5982149122807, 88.85396929824562]",88.85396929824562,102.5982149122807,174.7499649122807,"[246, 1, 0]",0,1,246,7.585441268460266,1945
9,../images/wikiart/1958_3.jpg,"[103.76042980828696, 60.30377860235003, 50.337854050711194]",50.337854050711194,60.30377860235003,103.76042980828696,"[84, 54, 44]",44,54,84,6.670086451891227,1958
10,../images/wikiart/1958_2.jpg,"[38.64353785103785, 34.50434981684982, 39.80569597069597]",39.80569597069597,34.50434981684982,38.64353785103785,"[32, 32, 42]",42,32,32,4.1271005805188805,1958
11,../images/wikiart/1945_7.jpg,"[148.23394405594405, 118.28014452214452, 99.58297902097902]",99.58297902097902,118.28014452214452,148.23394405594405,"[125, 99, 84]",84,99,125,7.466985491901335,1945
12,../images/wikiart/1961_6.jpg,"[168.3727296736465, 85.47117902282588, 78.05614035087719]",78.05614035087719,85.47117902282588,168.3727296736465,"[139, 43, 55]",55,43,139,6.547523768454699,1961
13,../images/wikiart/1967_2.jpg,"[113.33050772626932, 23.994541942604858, 44.01707505518764]",44.01707505518764,23.994541942604858,113.33050772626932,"[11, 11, 11]",11,11,11,6.540724557346099,1967
14,../images/wikiart/1961_4.jpg,"[190.6799935149157, 82.03858949416342, 44.07043125810635]",44.07043125810635,82.03858949416342,190.6799935149157,"[202, 81, 38]",38,81,202,6.482552200422497,1961
15,../images/wikiart/1949_8.jpg,"[118.49940306606973, 82.72011938678605, 53.585972052638716]",53.585972052638716,82.72011938678605,118.49940306606973,"[62, 49, 40]",40,49,62,7.247862745817464,1949
16,../images/wikiart/1939_1.jpg,"[190.52893740902473, 134.55908296943232, 83.87879184861717]",83.87879184861717,134.55908296943232,190.52893740902473,"[220, 174, 151]",151,174,220,7.844444441079441,1939
17,../images/wikiart/1945_5.jpg,"[190.83549086757992, 134.79035768645358, 98.30951293759513]",98.30951293759513,134.79035768645358,190.83549086757992,"[227, 174, 130]",130,174,227,7.664053205287184,1945
18,../images/wikiart/1958_1.jpg,"[55.613013698630134, 46.360628338710534, 51.36837679166446]",51.36837679166446,46.360628338710534,55.613013698630134,"[36, 36, 38]",38,36,36,5.492563269186954,1958
19,../images/wikiart/1945_4.jpg,"[141.35355036855037, 110.01150696150697, 90.45739148239149]",90.45739148239149,110.01150696150697,141.35355036855037,"[59, 41, 41]",41,41,59,7.577653337891522,1945
20,../images/wikiart/1949_9.jpg,"[190.95384, 65.27244, 44.81575]",44.81575,65.27244,190.95384,"[237, 1, 13]",13,1,237,7.604876387302808,1949
21,../images/wikiart/1961_5.jpg,"[82.75543046357616, 80.0478344370861, 77.22829139072847]",77.22829139072847,80.0478344370861,82.75543046357616,"[50, 51, 55]",55,51,50,5.767699852540255,1961
22,../images/wikiart/1947_2.jpg,"[187.6071095890411, 81.45388584474885, 57.78116894977169]",57.78116894977169,81.45388584474885,187.6071095890411,"[163, 29, 40]",40,29,163,7.38636361094798,1947
23,../images/wikiart/1961_1.jpg,"[89.65200501253133, 49.41722744360902, 80.16458020050125]",80.16458020050125,49.41722744360902,89.65200501253133,"[224, 12, 0]",0,12,224,7.24184160235392,1961
24,../images/wikiart/1958_5.jpg,"[88.75566769601566, 35.82167783886922, 38.019212422485]",38.019212422485,35.82167783886922,88.75566769601566,"[23, 17, 17]",17,17,23,6.680274405426554,1958
25,../images/wikiart/1958_4.jpg,"[83.28468547912992, 61.0963139329806, 61.957707231040565]",61.957707231040565,61.0963139329806,83.28468547912992,"[87, 46, 44]",44,46,87,5.91547726806921,1958
26,../images/wikiart/1945_1.jpg,"[213.22476709013915, 174.75915305505143, 146.14126557773744]",146.14126557773744,174.75915305505143,213.22476709013915,"[227, 192, 164]",164,192,227,7.369926186720652,1945
