index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,year
29,0.000763782,0.926971556,118.8465156,"[183.64548608972385, 105.19638640796633, 63.255259213633096]",183.6454861,7.694027501,1947
30,0.01382263,1,83.87801591,"[117.30966743119266, 76.23660168195718, 61.12968272171254]",117.3096674,7.294625391,1945
31,5.24E-06,0.601539922,109.8389378,"[172.44221263404825, 96.65829737768097, 56.06245287365952]",172.4422126,6.710839133,1958
32,0.001069182,0.998868092,201.7952118,"[223.94029874213837, 197.49297619047618, 179.20398472596585]",223.9402987,7.184242849,1945
33,0.00788017,0.990346868,53.7865755,"[69.43832116788322, 49.46974756690997, 50.4601794403893]",69.43832117,6.858517326,1963
34,0.002683824,1,108.2884033,"[108.3142830882353, 107.00245710784314, 120.95054534313725]",108.3142831,7.085993603,1961
35,0.000915723,0.976028787,166.8403086,"[191.8565610062893, 164.32110440251572, 118.13226918238993]",191.856561,7.114032771,1944
36,0.011016275,1,87.7117624,"[104.30473056057866, 83.60087281494876, 79.57385654008439]",104.3047306,7.457474221,1938
37,0.000149425,0.7165403,160.5372967,"[213.10001149425287, 148.98972413793103, 120.14935632183908]",213.1000115,7.570245575,1948
38,0.000617284,0.994998828,198.5340546,"[204.73341049382717, 199.91001157407408, 166.6494637345679]",204.7334105,6.906291114,1940
39,0.007049645,1,119.0102701,"[129.0649219858156, 117.29251300236406, 106.41914657210403]",129.064922,7.767744465,1942
40,0.00678392,1,114.082439,"[127.9981365159129, 109.1452093802345, 122.01359296482413]",127.9981365,7.826261233,1942
41,0.000218818,0.434574187,54.49021062,"[57.05157549234136, 53.917757111597375, 52.618639679066376]",57.05157549,4.943608693,1964
42,0.002015419,1,99.96504664,"[182.297657856094, 78.76743392070485, 67.50825256975037]",182.2976579,7.667024413,1948
43,2.57E-05,0.43557989,37.54798017,"[54.812042575085215, 32.33453598302142, 38.3556756061483]",54.81204258,5.211132111,1959
44,0.002098765,1,140.2038127,"[182.9520913580247, 131.9838197530864, 95.75304938271604]",182.9520914,7.726838068,1944
45,0.004709544,0.998330632,134.1369613,"[143.07614453665283, 133.61522475795297, 112.98288381742739]",143.0761445,7.546591137,1944
46,0.00422963,0.998333938,131.6621393,"[138.5866037037037, 129.9757111111111, 127.97782222222222]",138.5866037,5.726123468,1959
47,0.009628788,1,62.73311971,"[97.39141666666667, 54.72560227272727, 39.99935984848485]",97.39141667,7.301942918,1938
48,0.001352622,1,142.8563228,"[162.16848221820374, 139.71477757685352, 117.10934297769741]",162.1684822,7.493146769,1940
49,0,0.480662217,124.3603541,"[61.28702042304887, 138.6329686360321, 168.70407731582787]",61.28702042,7.227459415,1966
50,0.000916813,0.959262703,50.66762574,"[42.65129466900996, 51.50954012888108, 65.93265084944346]",42.65129467,6.205477283,1964
