index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,period
22,0.004480189,0.972910275,108.6946859,"[122.95303980370774, 104.78104780079971, 105.47734460196293]",122.9530398,7.655490363,themes_variations_59_60
23,0.000908366,0.867526303,135.6492844,"[180.02005494505494, 127.53433179723503, 85.38042360864941]",180.0200549,7.877645701,themes_variations_59_60
24,0.001421429,0.850336735,111.8814992,"[118.33692142857143, 109.75136428571429, 113.9736]",118.3369214,7.353000825,themes_variations_59_60
25,0.002164208,0.977780522,118.0635776,"[143.66178183229815, 112.59537072981367, 96.85420548654244]",143.6617818,7.581823777,themes_variations_59_60
26,0.000204845,0.864391398,175.1987713,"[210.47561453509084, 168.51397844674028, 137.5409734592091]",210.4756145,7.629555893,themes_variations_59_60
27,0.001771872,0.917361087,87.75930419,"[94.80562015503875, 87.19203119232189, 72.63003645256552]",94.80562016,6.7702202,themes_variations_59_60
28,0,0.560153732,199.4048851,"[194.13821522680217, 202.58021362695277, 183.45888857519293]",194.1382152,5.851885159,themes_variations_59_60
29,0.00851198,1,153.7034409,"[173.97161322284273, 149.58145604395605, 134.85344307332014]",173.9716132,7.887489576,themes_variations_59_60
30,0.00051698,0.786954392,199.8934505,"[224.5291073800038, 193.88124881426674, 186.90710728514514]",224.5291074,6.583209621,themes_variations_59_60
31,0.011029276,1,139.390204,"[158.373165647582, 137.36699555308505, 103.53454002223458]",158.3731656,7.761936506,themes_variations_59_60
32,0,0.611679072,153.1990976,"[171.27748312011371, 150.34976012793177, 128.19052949538025]",171.2774831,7.58011779,themes_variations_59_60
33,0.000150308,0.703012734,118.9073002,"[169.7261500279642, 107.13593050894855, 85.87123531879195]",169.72615,7.511034695,themes_variations_59_60
34,0.002669126,0.991053159,62.06755299,"[89.97206291759466, 55.819769626948776, 41.78937917594655]",89.97206292,7.155082892,themes_variations_59_60
35,0,0.65101846,150.0523287,"[168.39340759361997, 147.3805911927878, 122.51096133841887]",168.3934076,7.507515936,themes_variations_59_60
36,0.000895843,0.91417913,123.2723338,"[156.18338907469342, 115.98473084886129, 98.5521579869406]",156.1833891,7.710322508,themes_variations_59_60
37,0.001850378,0.7322346,197.9790867,"[218.3877710903303, 193.4428397333864, 182.81894150417827]",218.3877711,6.159439109,themes_variations_59_60
38,0.000448198,0.724238674,167.9284338,"[197.63424702774108, 164.376877712776, 115.63781137950556]",197.634247,7.632290203,themes_variations_59_60
39,0.002239011,0.840340954,99.0239141,"[119.72901556776557, 95.51706501831502, 72.79391254578755]",119.7290156,7.562198534,themes_variations_59_60
40,0.000373201,0.943805593,78.77412327,"[116.39712904676259, 68.05272706834532, 74.19367356115107]",116.397129,7.432006104,themes_variations_59_60
41,0.003641152,1,65.92457796,"[70.41248244382022, 65.63724719101124, 55.55574789325843]",70.41248244,7.099964973,themes_variations_59_60
42,0.001176075,1,100.0291525,"[130.22737567204302, 94.58256384408602, 65.06042674731182]",130.2273757,7.794130596,themes_variations_59_60
43,0,0.540011242,203.6510517,"[224.20716506751955, 203.2718105899076, 146.8782471570718]",224.2071651,7.134336637,themes_variations_59_60
44,0.038476124,0.992749518,122.5239578,"[149.23477059925094, 118.62581460674157, 82.48563670411986]",149.2347706,7.70796392,themes_variations_59_60
45,0.001710028,0.821360921,209.4087378,"[206.53828287606433, 211.9225, 192.96020577105014]",206.5382829,6.223787439,themes_variations_59_60
46,0.000402407,0.809836745,130.4693904,"[138.79170896171695, 131.0473934164733, 100.23791328306264]",138.791709,7.419164763,themes_variations_59_60
47,6.06E-05,0.850802278,206.4381587,"[230.10788139329807, 203.09041005291004, 169.90251873897708]",230.1078814,6.970694571,themes_variations_59_60
48,0.001840909,0.998867451,93.17195436,"[117.83367727272727, 87.45106818181819, 77.22313863636364]",117.8336773,7.47646538,themes_variations_59_60
49,0.000325106,0.998843769,98.787342,"[160.80634288747345, 83.09525610403396, 71.60922903397028]",160.8063429,7.275047959,themes_variations_59_60
50,0.000223791,1,44.66405094,"[52.58471530084902, 43.21647978959025, 35.680251015134736]",52.5847153,5.692655283,themes_variations_59_60
51,0.003113136,0.976618073,92.90569773,"[103.83955201214883, 91.02844343204252, 79.3056264236902]",103.839552,6.92085077,themes_variations_59_60
52,0.002676161,0.946058316,80.88719848,"[139.00008099352053, 66.82955588552916, 49.020538606911444]",139.000081,7.307654027,themes_variations_59_60
53,4.17E-05,0.8089812,124.4632417,"[178.6687917439703, 113.09561688311689, 77.45528293135436]",178.6687917,7.717788702,themes_variations_59_60
54,0.000546593,0.904212071,165.5680374,"[178.10775313097008, 165.27505041392484, 131.54588728507747]",178.1077531,7.621214111,themes_variations_59_60
55,2.25E-06,0.703513484,144.2454344,"[161.7591081081081, 143.3729099099099, 101.31776801801801]",161.7591081,7.677694272,themes_variations_59_60
56,0.005966278,0.834270553,100.3567789,"[121.51835047248471, 96.60766166388734, 75.18252038169354]",121.5183505,7.401584909,themes_variations_59_60
57,0.000725911,0.781418191,139.4027533,"[153.42692708333334, 138.76264322916666, 104.4480078125]",153.4269271,7.767497728,themes_variations_59_60
58,0.001134615,0.934634965,88.18935181,"[93.64903365384616, 86.20467548076923, 91.77262259615385]",93.64903365,7.410294851,themes_variations_59_60
59,0.000484262,0.798027096,165.8248216,"[214.04799485472154, 155.30138468523003, 128.0701876513317]",214.0479949,7.493371138,themes_variations_59_60
60,0,0.575291811,142.1092679,"[223.61648181011535, 124.61606033717835, 75.38777728482698]",223.6164818,7.107660812,themes_variations_59_60
61,0.002477252,0.925898235,78.09100989,"[110.1994017288444, 68.00872838944495, 83.41792993630573]",110.1994017,7.43874024,themes_variations_59_60
62,0.001668736,0.902598108,150.9035815,"[185.66335943468297, 144.8963283040489, 108.05674894957983]",185.6633594,7.682000803,themes_variations_59_60
63,0.000216195,0.69656744,169.9472111,"[196.20526729559748, 166.3385220125786, 128.3747969077568]",196.2052673,7.321568052,themes_variations_59_60
64,0.000415968,0.742482525,114.9219623,"[122.91540827740492, 115.03215184563759, 90.29295651565995]",122.9154083,7.311880012,themes_variations_59_60
65,0.000420121,0.92563619,120.0614765,"[146.0717212245952, 115.19035340278822, 91.7242078404619]",146.0717212,7.707163852,themes_variations_59_60
66,0.001276596,0.874504721,128.2883331,"[146.60316109422493, 124.42186930091185, 112.65900455927051]",146.6031611,7.58935951,themes_variations_59_60
67,0,0.655254844,149.437233,"[105.73218806509946, 160.2696993670886, 170.82660488245932]",105.7321881,6.829601228,themes_variations_59_60
68,0.013892168,0.992749518,136.4884652,"[168.83228305785124, 132.2663764266037, 83.07215171192443]",168.8322831,7.719440888,themes_variations_59_60
69,0.00391129,0.951633089,88.63863679,"[123.7330309139785, 81.24335125448029, 58.55608870967742]",123.7330309,7.488123062,themes_variations_59_60
70,0.000655657,0.978680766,152.3142679,"[170.34172708557108, 150.23935732187613, 119.7843268886502]",170.3417271,7.757367136,themes_variations_59_60
71,0.000831839,0.983914547,189.6400878,"[192.6746189479976, 188.69925532974696, 190.0243275552899]",192.6746189,6.9878413,themes_variations_59_60
72,8.93E-06,0.657796257,119.6589924,"[134.96294642857143, 117.37002678571429, 97.26906919642857]",134.9629464,7.167540463,themes_variations_59_60
73,0.001206897,0.728477377,88.3042683,"[110.01572660098522, 83.30577586206897, 73.88689655172413]",110.0157266,5.546317753,themes_variations_59_60
74,0.000136314,0.639745838,88.11491912,"[62.97835332606325, 93.35689749182116, 110.20592966194111]",62.97835333,7.131055548,themes_variations_59_60
75,0.006260653,0.994866594,82.300487,"[103.2508203125, 79.82218039772727, 45.15982244318182]",103.2508203,7.041356322,themes_variations_59_60
76,0.002287804,0.937372427,75.06993969,"[100.46946337695384, 68.86529671028717, 61.740603416939294]",100.4694634,7.315374991,themes_variations_59_60
77,0.000104736,0.952841052,190.3631301,"[199.90419103784987, 187.81160471149354, 187.54348141344806]",199.904191,6.413255021,themes_variations_59_60
78,0,0.556034843,203.3020316,"[208.32782450818166, 204.3342112520684, 178.2785070785071]",208.3278245,7.092875445,themes_variations_59_60
79,0.024717282,0.995010128,129.7808844,"[159.87884689735162, 124.24450512275276, 95.99683452542045]",159.8788469,7.645396027,themes_variations_59_60
80,0.000488755,0.62019806,95.40474724,"[138.05187196524406, 83.8499009711219, 84.28628929210325]",138.051872,6.680255477,themes_variations_59_60
81,0.003041475,0.803639579,65.03990706,"[40.402661290322584, 68.82753456221198, 100.06715437788019]",40.40266129,6.780621435,themes_variations_59_60
82,0.026578341,0.984269026,142.6902915,"[131.94482718894008, 144.12676267281105, 160.1019470046083]",131.9448272,6.710814552,themes_variations_59_60
83,0.007534215,0.883399194,120.5829463,"[131.25369069343066, 118.13640282846715, 113.39690237226277]",131.2536907,7.459407558,themes_variations_59_60
84,0.000340136,0.949609366,144.3875955,"[159.710723733938, 142.78034060846562, 115.18831018518519]",159.7107237,7.570793831,themes_variations_59_60
85,0,0.522433157,150.3495661,"[138.25652265493352, 154.8811130874368, 141.07004540348248]",138.2565227,6.891474258,themes_variations_59_60
86,0.003175087,0.955148859,95.19119448,"[52.08545731707317, 109.6158405923345, 79.2323693379791]",52.08545732,7.527694692,themes_variations_59_60
87,0.000609756,0.649360512,65.22143121,"[73.69413854758848, 62.57030304419585, 66.53430221896204]",73.69413855,6.515628148,themes_variations_59_60
88,0.00013087,0.915408052,121.3541101,"[90.9261662817552, 128.7703156274057, 137.4886066204773]",90.92616628,7.351464413,themes_variations_59_60
89,0.000858008,1,111.8720798,"[144.87212795616227, 105.52797779273217, 77.54370794078062]",144.872128,7.794431972,themes_variations_59_60
90,0.00112782,0.941902788,51.62215982,"[65.87696741854637, 47.64044799498747, 49.089586466165414]",65.87696742,6.895287869,themes_variations_59_60
91,0.009295879,0.886740676,76.4138528,"[72.3258893919793, 72.09714008501201, 131.21183006837921]",72.32588939,6.977064898,themes_variations_59_60
92,0.000929368,0.843770402,138.4047384,"[146.90707315454063, 136.03863847583642, 136.80693043016464]",146.9070732,7.06459984,themes_variations_59_60
93,0.002803532,1,84.16802075,"[141.43000367917585, 70.60538999264165, 49.90342163355408]",141.4300037,7.080534338,themes_variations_59_60
94,0.002426945,0.811125496,92.37540179,"[135.42340778785868, 83.49045448773123, 53.62897847262397]",135.4234078,6.36442836,themes_variations_59_60
